X,Y,featurecla,scalerank,name,name_abb,name_alt,note,delta,dam_name,year,admin,min_zoom,min_label
-163.853033257253,61.1476379968159,Lake,5,,,,_untitled_2,,,-99,,4.7,6
-162.632145596635,60.8030847860083,Lake,5,,,,_untitled_1,,,-99,,4.7,6
-158.911528315447,59.2472231920539,Lake,5,,,Tikchik Lakes,,,,-99,,4.7,6
-158.720828502172,59.960761836221,Lake,5,,,Tikchik Lakes,,,,-99,,4.7,6
-159.001380251721,60.2326071076271,Lake,5,,,Tikchik Lakes,,,,-99,,4.7,6
-159.011537347253,59.5467386914103,Lake,5,,,Tikchik Lakes,,,,-99,,4.7,6
-108.482367474239,64.175908954683,Lake,6,Aylmer Lake,Aylmer L.,,,,,-99,,5,6.5
-107.45174515596,63.9386514682148,Lake,6,Clinton-Colden Lake,Clinton-Colden L.,,,,,-99,,5,6.5
-107.763612107693,55.5675244208444,Lake,6,Lac Île-à-la-Crosse,L. Île-à-la-Crosse,,,,,-99,,5,6.5
-104.268880946754,60.6679716516549,Lake,6,Wholdaia Lake,Wholdaia L.,,,,,-99,,5,6.5
-95.6340415112007,64.9079925388594,Lake,6,Tehek Lake,Tehek L.,,,,,-99,,5,6.5
-81.6211717161196,29.3549876280235,Lake,6,Lake George,L. George,,,,,-99,,5,6.5
-114.277659495405,34.4227604407223,Lake,6,Lake Havasu,L. Havasu,,,,,-99,,5,6.5
-113.644779792156,65.3167171293818,Lake,6,Point Lake,Point L.,,,,,-99,,5,6.5
-121.948671369913,42.4390315328355,Lake,6,Upper Klamath Lake,Upper Klamath L.,,,,,-99,,5,6.5
-67.7475298834911,45.6808636649366,Lake,6,Chiputneticook Lakes,Chiputneticook Lakes,,,,,-99,admin-0,5,6.5
-137.112332000529,61.438469754422,Lake,6,Aishik Lake,Aishik L.,,,,,-99,,5,6.5
-155.909288628958,58.6262620658696,Lake,6,,,,_untitled_39,,,-99,,5,6.5
-162.866150466182,61.0761075139229,Lake,6,,,,_untitled_38,,,-99,,5,6.5
-154.322352064415,60.2418795776318,Lake,6,Lake Clark,L. Clark,,,,,-99,,5,6.5
-150.845026112593,60.1709378229931,Lake,6,,,,_untitled_37,,,-99,,5,6.5
-160.033855606698,61.374739920898,Lake,6,,,,_untitled_36,,,-99,,5,6.5
-162.365234352754,60.9077312332036,Lake,6,,,,_untitled_35,,,-99,,5,6.5
-163.770003253832,61.5700505192499,Lake,6,,,,_untitled_34,,,-99,,5,6.5
-163.556980334003,62.6393282110557,Lake,6,,,,_untitled_33,,,-99,,5,6.5
-76.870625243702,51.3559096719081,Lake,6,,,,_untitled_27,,,-99,,5,6.5
-91.4985303400966,51.1168860006772,Lake,6,,,,_untitled_26,,,-99,,5,6.5
-91.9411685599122,51.9421358310908,Lake,6,,,,_untitled_25,,,-99,,5,6.5
-78.7806291988373,51.103050886702,Lake,6,,,,_untitled_24,,,-99,,5,6.5
-78.7031114108404,47.615424708446,Lake,6,,,,_untitled_23,,,-99,,5,6.5
-108.049301014141,64.7266642365463,Lake,6,,,,_untitled_21,,,-99,,5,6.5
-108.24917151339,64.6203987866518,Lake,6,,,,_untitled_20,,,-99,,5,6.5
-108.976007732887,64.6414458217417,Lake,6,,,,_untitled_19,,,-99,,5,6.5
-109.280482651069,64.6464500119029,Lake,6,,,,_untitled_18,,,-99,,5,6.5
-78.9603238384195,71.1336466456307,Lake,6,,,,_untitled_17,,,-99,,5,6.5
-104.691539470614,69.8010602421056,Lake,6,,,,_untitled_16,,,-99,,5,6.5
-98.4017396558937,67.3045580799019,Lake,6,,,,_untitled_15,,,-99,,5,6.5
-95.864526265797,55.3074537145236,Lake,6,,,,_untitled_14,,,-99,,5,6.5
-102.227357147259,54.5965643475006,Lake,6,,,,_untitled_13,,,-99,,5,6.5
-105.713148611964,54.2802700928976,Lake,6,,,,_untitled_12,,,-99,,5,6.5
-70.9339867730025,53.510949446639,Lake,6,,,,_untitled_11,,,-99,,5,6.5
-60.8201214901317,52.4653680670673,Lake,6,,,,_untitled_10,,,-99,,5,6.5
-112.022213218278,64.7634597524378,Lake,6,,,,_untitled_9,,,-99,,5,6.5
-83.7536717250912,48.3841566264503,Lake,6,,,,_untitled_8,,,-99,,5,6.5
-106.957810573867,55.8713082000443,Lake,6,,,,_untitled_7,,,-99,,5,6.5
-106.464768733217,55.6954256340831,Lake,6,,,,_untitled_6,,,-99,,5,6.5
-102.583179298982,62.5729491003875,Lake,6,,,,_untitled_5,,,-99,,5,6.5
-103.372343680271,61.53001699796,Lake,6,,,,_untitled_4,,,-99,,5,6.5
-103.6907397152,58.6290585250774,Lake,6,,,,_untitled_3,,,-99,,5,6.5
-69.1443339498371,56.3546540967945,Lake,6,,,,_untitled_2,,,-99,,5,6.5
-89.0307736320555,66.5545182839704,Lake,6,,,,_untitled_1,,,-99,,5,6.5
-88.5384781804372,66.6668181984712,Lake,6,,,,_untitled_0,,,-99,,5,6.5
-111.545443272474,46.5080268621766,Lake,7,Canyon Ferry Lake,Canyon Ferry L.,,,,,-99,,5.7,6.7
-110.665858423631,43.9485307767667,Lake,7,Jackson Lake,Jackson L.,,,,,-99,,5.7,6.7
-94.5743510189758,47.4251183002553,Lake,7,Cass Lake,Cass L.,,,,,-99,,5.7,6.7
-94.2518509576136,47.4364513191499,Lake,7,Lake Winnibigoshish,L. Winnibigoshish,,,,,-99,,5.7,6.7
-97.5003822607942,54.7477203267827,Lake,7,,,,_untitled_132,,,-99,,5.7,6.7
-75.1012465760215,51.4021248398677,Lake,7,,,,_untitled_122,,,-99,,5.7,6.7
-91.5527855482422,48.8978220282951,Lake,7,Marmion Lake,Marmion L.,,,,,-99,,5.7,6.7
-95.9921587142715,50.349773085372,Lake,7,Lac du Bonnet,L. du Bonnet,,,,,-99,,5.7,6.7
-91.8431177205432,51.3544378512724,Lake,7,,,,_untitled_121,,,-99,,5.7,6.7
-91.8894274616317,51.6296683101405,Lake,7,,,,_untitled_120,,,-99,,5.7,6.7
-107.652550588239,55.9245881070551,Lake,7,,,,_untitled_119,,,-99,,5.7,6.7
-93.5410914329525,53.1556519451911,Lake,7,,,,_untitled_116,,,-99,,5.7,6.7
-92.9201429622831,53.0443823051353,Lake,7,Sandy Lake,Sandy L.,,,,,-99,,5.7,6.7
-77.0693430016953,48.6339245883215,Lake,7,,,,_untitled_115,,,-99,,5.7,6.7
-75.948798046286,48.5447322578006,Lake,7,,,,_untitled_114,,,-99,,5.7,6.7
-77.4566813718123,50.0258253634636,Lake,7,,,,_untitled_113,,,-99,,5.7,6.7
-75.6112703143838,48.5672511135262,Lake,7,,,,_untitled_112,,,-99,,5.7,6.7
-77.5206428975598,47.7974889210769,Lake,7,,,,_untitled_111,,,-99,,5.7,6.7
-79.4346044433804,47.2071416641143,Lake,7,,,,_untitled_110,,,-99,,5.7,6.7
-68.3938217213307,49.5438041052855,Lake,7,,,,_untitled_109,,,-99,,5.7,6.7
-101.655519729526,62.3005151007271,Lake,7,,,,_untitled_108,,,-99,,5.7,6.7
-100.940573325406,62.3496739099581,Lake,7,,,,_untitled_107,,,-99,,5.7,6.7
-99.77778869846,62.3804349612434,Lake,7,,,,_untitled_106,,,-99,,5.7,6.7
-138.792404874444,61.3350007637352,Lake,7,Kluane Lake,Kluane L.,,,,,-99,,5.7,6.7
-104.677517631008,63.1688892757655,Lake,7,,,,_untitled_105,,,-99,,5.7,6.7
-106.488805919216,62.4624153706495,Lake,7,Lynx Lake,Lynx L.,,,,,-99,,5.7,6.7
-101.732384097702,64.454230236886,Lake,7,,,,_untitled_104,,,-99,,5.7,6.7
-116.257840683745,63.0127291063222,Lake,7,,,,_untitled_103,,,-99,,5.7,6.7
-68.4998530102348,53.7145022405506,Lake,7,,,,_untitled_102,,,-99,,5.7,6.7
-112.228395644056,41.4980966004591,Lake,7,,,,_untitled_101,,,-99,,5.7,6.7
-76.1107067793717,48.5799087709929,Lake,7,,,,_untitled_99,,,-99,,5.7,6.7
-96.7314361894156,45.7086810749506,Lake,7,Lake Traverse,L. Traverse,,,,,-99,,5.7,6.7
-92.7649191404042,29.8957345295644,Lake,7,,,,_untitled_94,,,-99,,5.7,6.7
-92.5075260353949,29.7559115691769,Lake,7,,,,_untitled_93,,,-99,,5.7,6.7
-107.540279310099,70.0609837663629,Lake,7,Washburn Lake,Washburn L.,,,,,-99,,5.7,6.7
-113.270151412701,66.2775216403395,Lake,7,Takijuq Lake,Takijuq L.,,,,,-99,,5.7,6.7
-70.5596300305845,43.8637539081528,Lake,7,Sebago Lake,Sebago L.,,,,,-99,,5.7,6.7
-69.7051950558114,45.6867509474793,Lake,7,Moosehead Lake,Moosehead L.,,,,,-99,,5.7,6.7
-81.2657783774981,27.8887599107807,Lake,7,Lake Kissimmee,L. Kissimmee,,,,,-99,,5.7,6.7
-103.629371582622,20.9407362360283,Lake,7,,,,_untitled_86,,,-99,,5.7,6.7
-80.414955924623,70.6142411433068,Lake,7,,,,_untitled_85,,,-99,,5.7,6.7
-112.154297924335,70.9452536042664,Lake,7,,,,_untitled_84,,,-99,,5.7,6.7
-124.995188029747,67.4683717166507,Lake,7,,,,_untitled_83,,,-99,,5.7,6.7
-97.4500802641252,66.429560712003,Lake,7,,,,_untitled_82,,,-99,,5.7,6.7
-92.3830475051048,63.0835236788974,Lake,7,,,,_untitled_81,,,-99,,5.7,6.7
-94.9715784341069,62.2089678571892,Lake,7,,,,_untitled_80,,,-99,,5.7,6.7
-103.656467187475,54.7695032721905,Lake,7,,,,_untitled_79,,,-99,,5.7,6.7
-101.403451087115,55.1711631236616,Lake,7,,,,_untitled_78,,,-99,,5.7,6.7
-96.7950419585328,54.2368513841457,Lake,7,,,,_untitled_77,,,-99,,5.7,6.7
-87.8680305126143,52.2364999582225,Lake,7,,,,_untitled_76,,,-99,,5.7,6.7
-75.1835208342115,50.3547772755333,Lake,7,,,,_untitled_74,,,-99,,5.7,6.7
-77.0078462281037,50.888459438023,Lake,7,,,,_untitled_73,,,-99,,5.7,6.7
-70.9802957929978,50.7661511431998,Lake,7,,,,_untitled_72,,,-99,,5.7,6.7
-72.1571283215006,64.6027369390239,Lake,7,,,,_untitled_71,,,-99,,5.7,6.7
-64.3294331179846,55.9884651226427,Lake,7,,,,_untitled_70,,,-99,,5.7,6.7
-68.2257210178203,56.9242486827943,Lake,7,,,,_untitled_69,,,-99,,5.7,6.7
-75.3578571064422,60.1101516307403,Lake,7,,,,_untitled_68,,,-99,,5.7,6.7
-109.734065396526,54.8963742109842,Lake,7,,,,_untitled_67,,,-99,,5.7,6.7
-65.312568798211,52.7239669527525,Lake,7,,,,_untitled_66,,,-99,,5.7,6.7
-71.9072209605519,53.5327323920468,Lake,7,,,,_untitled_65,,,-99,,5.7,6.7
-97.314901817731,63.3371183744213,Lake,7,,,,_untitled_64,,,-99,,5.7,6.7
-117.435949737495,64.174878680238,Lake,7,,,,_untitled_63,,,-99,,5.7,6.7
-121.046738151235,60.5521393676286,Lake,7,,,,_untitled_62,,,-99,,5.7,6.7
-95.5541349071413,54.8508949533424,Lake,7,,,,_untitled_61,,,-99,,5.7,6.7
-70.8224046630895,53.1243021656516,Lake,7,,,,_untitled_60,,,-99,,5.7,6.7
-73.3219756137953,56.0043607855078,Lake,7,,,,_untitled_59,,,-99,,5.7,6.7
-80.078882487432,47.0080043321097,Lake,7,,,,_untitled_58,,,-99,,5.7,6.7
-100.355534097749,56.3380225236116,Lake,7,,,,_untitled_57,,,-99,,5.7,6.7
-97.3025672161331,57.3491633003089,Lake,7,,,,_untitled_56,,,-99,,5.7,6.7
-102.039371672575,55.8323049531994,Lake,7,,,,_untitled_55,,,-99,,5.7,6.7
-101.863083179338,55.7385499787079,Lake,7,,,,_untitled_54,,,-99,,5.7,6.7
-100.42862704389,55.8813165803668,Lake,7,,,,_untitled_53,,,-99,,5.7,6.7
-110.48300624036,64.5404789261355,Lake,7,,,,_untitled_52,,,-99,,5.7,6.7
-121.536678987146,63.9673519706102,Lake,7,Keller Lake,Keller L.,,,,,-99,,5.7,6.7
-111.277300007726,63.9580795006055,Lake,7,,,,_untitled_51,,,-99,,5.7,6.7
-117.270519828156,63.8855187432676,Lake,7,,,,_untitled_50,,,-99,,5.7,6.7
-117.520375162196,60.5567020115991,Lake,7,Tathlina Lake,Tathlina L.,,,,,-99,,5.7,6.7
-104.482420172198,60.0740920251667,Lake,7,Selwyn Lake,Selwyn L.,,,,,-99,,5.7,6.7
-107.29363218209,54.7668539950463,Lake,7,,,,_untitled_48,,,-99,,5.7,6.7
-74.6755482097239,60.597765807334,Lake,7,,,,_untitled_47,,,-99,,5.7,6.7
-93.123181659566,69.252071145005,Lake,7,,,,_untitled_46,,,-99,,5.7,6.7
-102.820797613811,66.5577562893689,Lake,7,,,,_untitled_45,,,-99,,5.7,6.7
-109.109219153342,61.8574970893939,Lake,7,Nonacho Lake,Nonacho L.,,,,,-99,,5.7,6.7
-97.4151913867372,61.4539238710964,Lake,7,,,,_untitled_44,,,-99,,5.7,6.7
-105.563149195099,61.5834440870344,Lake,7,,,,_untitled_43,,,-99,,5.7,6.7
-56.9037156146459,48.6978016039091,Lake,7,,,,_untitled_42,,,-99,,5.7,6.7
-64.5569225253301,52.692617173213,Lake,7,,,,_untitled_41,,,-99,,5.7,6.7
-163.21672213445,65.6165269928654,Lake,7,,,,_untitled_39,,,-99,,5.7,6.7
-155.412247159859,59.0033425127253,Lake,7,,,,_untitled_38,,,-99,,5.7,6.7
-163.987458312529,60.9617470505323,Lake,7,,,,_untitled_37,,,-99,,5.7,6.7
-162.489867508764,61.0382817235865,Lake,7,,,,_untitled_36,,,-99,,5.7,6.7
-106.083076197818,55.7275113239405,Lake,7,,,,_untitled_35,,,-99,,5.7,6.7
-99.4507748461261,64.5877243685402,Lake,7,Aberdeen Lake,Aberdeen L.,,,,,-99,,5.7,6.7
-108.824153492725,63.5334592472181,Lake,7,,,,_untitled_34,,,-99,,5.7,6.7
-103.020935036998,60.6207262092502,Lake,7,,,,_untitled_33,,,-99,,5.7,6.7
-102.970992375056,62.0793004591877,Lake,7,,,,_untitled_32,,,-99,,5.7,6.7
-125.267141669899,66.8406402155424,Lake,7,,,,_untitled_31,,,-99,,5.7,6.7
-104.461889318327,55.5333781820972,Lake,7,,,,_untitled_30,,,-99,,5.7,6.7
-104.341226464688,55.4181346263251,Lake,7,,,,_untitled_29,,,-99,,5.7,6.7
-95.1986619946197,56.4462013403325,Lake,7,,,,_untitled_28,,,-99,,5.7,6.7
-102.301896818829,54.0592026334217,Lake,7,,,,_untitled_27,,,-99,,5.7,6.7
-101.077189173698,54.0649427339008,Lake,7,,,,_untitled_26,,,-99,,5.7,6.7
-100.78698383198,54.2177177158822,Lake,7,,,,_untitled_25,,,-99,,5.7,6.7
-68.2431122981021,53.7053769526096,Lake,7,,,,_untitled_24,,,-99,,5.7,6.7
-68.1976089818537,53.1867073606035,Lake,7,,,,_untitled_23,,,-99,,5.7,6.7
-74.2188878535198,49.8515618002017,Lake,7,,,,_untitled_22,,,-99,,5.7,6.7
-86.859870705431,49.5258478935305,Lake,7,Long Lake,Long L.,,,,,-99,,5.7,6.7
-138.150291662151,59.2046875756833,Lake,7,,,,_untitled_15,,,-99,,5.7,6.7
-138.222462872236,59.2837243438182,Lake,7,,,,_untitled_14,,,-99,,5.7,6.7
-138.03333913232,59.4495985294569,Lake,7,,,,_untitled_13,,,-99,,5.7,6.7
-103.127266718821,55.9390119492846,Lake,7,,,,_untitled_11,,,-99,,5.7,6.7
-113.761681349236,58.6677674077952,Lake,7,,,,_untitled_10,,,-99,,5.7,6.7
-97.1557197750066,66.0184812084637,Lake,7,,,,_untitled_9,,,-99,,5.7,6.7
-95.6977285286289,53.195685466481,Lake,7,,,,_untitled_8,,,-99,,5.7,6.7
-91.940011964839,53.3015093701848,Lake,7,,,,_untitled_7,,,-99,,5.7,6.7
-72.1495299855237,52.5598589518766,Lake,7,,,,_untitled_6,,,-99,,5.7,6.7
-71.3154280349593,50.7105163231719,Lake,7,,,,_untitled_5,,,-99,,5.7,6.7
-103.702575431995,55.3758933740817,Lake,7,,,,_untitled_4,,,-99,,5.7,6.7
-90.8060766483497,53.8683074969769,Lake,7,,,,_untitled_3,,,-99,,5.7,6.7
-69.1443339498371,56.3546540967945,Lake,7,,,,_untitled_2,,,-99,,5.7,6.7
-89.0307736320555,66.5545182839704,Lake,7,,,,_untitled_1,,,-99,,5.7,6.7
-88.5384781804372,66.6668181984712,Lake,7,,,,_untitled_0,,,-99,,5.7,6.7
-125.230048248693,67.0153453249951,Lake,8,,,,_untitled_69,,,-99,,6,7
-96.2206326473716,63.6289804064723,Lake,8,,,,_untitled_63,,,-99,,6,7
-91.031266967093,49.9046945251489,Lake,8,,,,_untitled_60,,,-99,,6,7
-90.7009676815197,50.0920572920682,Lake,8,Sturgeon Lake,Sturgeon L.,,,,,-99,,6,7
-90.9658154822214,49.7912171541397,Lake,8,,,,_untitled_59,,,-99,,6,7
