Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2018-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
Aruba,ABW,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.4888063555081,94.7704911076312,95.0521758597543,95.3338606118775,95.6155453640006,95.8972301161238,96.178914868247,96.4605996203701,96.7422843724932,97.0239691246164,97.3056538767395,97.5873386288627,97.8690233809859,97.8690233809859,97.8690233809859,97.8690233809859,,,
Afghanistan,AFG,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0698591636825,27.1605864240717,29.6830851798343,32.2095196168761,34.739932622997,37.2759070938167,39.817870163674,42.3656329637824,44.919632159104,47.4796693502296,50.0461907327433,52.619324970044,55.1992007255301,57.7859466626005,60.3793405552895,62.9802080804115,,,
Angola,AGO,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7685202373875,38.071296375003,38.3786816831586,38.5919099199482,38.8054814544412,39.0167749441363,39.2278650518507,39.4378440143583,39.6466569370256,39.8525954686376,40.0576898334985,40.2606528866293,40.4577957190839,40.647538067126,40.8303429614739,41.0058676167972,,,
Albania,ALB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.5847949879985,87.6539513630673,87.7238795169689,87.7887929030404,87.8486425546774,87.9028778986161,87.9517279752511,87.9950401792485,88.0326727867421,88.0639223543458,88.0894923254456,88.1088209805221,88.235008039424,89.8417495655738,91.3679231271622,91.3943331635801,,,
Andorra,AND,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
Arab World,ARB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.3583353578422,79.5295554024558,79.700092251046,80.0249113982596,80.3613866229661,80.8946426263023,81.5395924131318,82.1930559557391,82.8433949533448,83.4778734578916,84.3090905755554,84.8853249470001,85.4452172230056,85.9619552428643,86.4691069143131,86.9673401206552,,,
United Arab Emirates,ARE,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6530432980302,99.6512836781822,99.6495534553245,99.6478526294571,99.6461770010099,99.6445349691231,99.6429139350865,99.6413558946005,99.6398524485251,99.6383993972903,99.637005140036,99.6356612776222,99.6343636104789,99.6331163381762,99.6319194607139,99.6307645789521,,,
Argentina,ARG,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0115759527846,99.06082090085,99.1088549797535,99.1555403464694,99.2007272910545,99.2443541672158,99.286498946806,99.3271919661553,99.3664913266561,99.4043684815319,99.4409053756782,99.4760901669231,99.5099552654655,99.5079427234812,99.6320026110776,99.6273001896653,,,
Armenia,ARM,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.8733622239449,96.0298524406754,96.2038472891965,96.3841765566088,96.5648398600434,96.7458371995,96.9271069186675,97.1087773913203,97.2862984413327,97.4609445564821,97.6376546990975,97.7658533986418,97.7174441005543,97.6700511765069,98.4609701074516,98.9236524346622,,,
American Samoa,ASM,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5,98.56097,98.62194,98.68291,98.74388,98.80485,98.86582,98.92679,98.98776,99.04873,99.1097,99.17067,99.23164,99.23164,99.23164,99.23164,,,
Antigua and Barbuda,ATG,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.2537651723165,98.1372591033899,98.0207530344633,97.9042469655367,97.7877408966101,97.6712348276835,97.554728758757,97.4382226898304,97.3217166209038,97.2052105519772,97.0887044830506,96.9721984141241,96.8556923451975,96.7391862762709,96.7391862762709,96.7391862762709,,,
Australia,AUS,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.7351009166667,99.7367587666666,99.73802745,99.7580446666666,99.77784115,99.7974,99.8167375,99.8358516,99.8547500833333,99.8734323333333,99.89190265,99.9101666666667,99.9282259166667,99.9460847,99.95981995,99.96870195,,,
Austria,AUT,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
Azerbaijan,AZE,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.4369811113811,76.9846266129038,77.5288592605837,78.0703435328456,78.6087433540953,79.1437533397933,79.6756942200064,80.2048560337467,80.7306510302265,81.2533769212215,81.7759709346621,82.2981798693458,82.8197505240702,83.3404296976327,83.8599641888309,84.3778721395599,,,
Burundi,BDI,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4439784826996,52.6643140030082,52.8878719647811,53.1143686324786,53.3438468640397,53.5763495174029,53.8122631871609,54.0512927089903,54.2941798429211,54.539927665343,54.7896359589192,55.0430067021308,55.300091324504,55.5609412555655,55.8256079248415,55.9341198142855,,,
Belgium,BEL,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
Benin,BEN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.06423832136,60.5425643532549,61.0178642750105,61.4917618838552,61.9643388539225,62.435203424845,62.9042060907597,63.3711973458039,63.8362367150944,64.2987510935551,64.7590035000281,65.2166353976711,65.6714972806211,66.1232582983068,66.5719613640825,67.0172867018849,,,
Burkina Faso,BFA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7086270570057,46.9446649565787,47.3945683777572,47.8530903598712,48.3213341305086,48.7980090719148,49.2842221431061,49.7800554355027,50.2800255752614,50.7838058655631,51.2903639759554,51.8000589423019,52.312196325254,52.826071734988,53.3413261356404,53.85759551611,,,
Bangladesh,BGD,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.6464727397484,94.8376997036621,95.0326392927935,95.2252976834291,95.4155601511481,95.6032887548835,95.7885094704096,95.9711138124722,96.1510016147055,96.3280810296323,96.5023319394373,96.6736413597187,96.8418110789721,97.0067690278329,97.1685533207055,97.3271424809628,,,
Bulgaria,BGR,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.7408936676302,99.7417747679669,99.7430120361389,99.7442398753476,99.7095345544297,99.6627708904527,99.6162629580225,99.5700123845502,99.5240168637189,99.4782682335542,99.4327692746251,99.3875110561847,99.3424901187581,99.2976956096677,99.2531306938691,99.2556350774102,,,
Bahrain,BHR,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8979443202155,99.9080377390953,99.9181311579751,99.9282245768549,99.9383179957347,99.9484114146144,99.9585048334942,99.968598252374,99.9786916712538,99.9887850901336,99.9988785090134,100,100,100,100,100,,,
"Bahamas, The",BHS,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.3836267233224,98.3343036407529,98.2849805581833,98.2356574756138,98.1863343930442,98.1370113104747,98.0876882279051,98.0383651453356,97.9890420627661,97.9397189801965,97.890395897627,97.8410728150574,97.7917497324879,97.7917497324879,97.7917497324879,97.7917497324879,,,
